2019-10-24,08:14 PM,Error,SmartPrompter-Admin,Launching on device with dp height: 609.7778 		 and dp width: 320.0
2019-10-24,08:14 PM,Info,SpResLib,Retrieving alarm records from storage!
2019-10-24,08:14 PM,Info,SpResLib,Retrieving alarm records from storage!
2019-10-24,08:14 PM,Info,SpResLib,Scanning file: device_label.txt
2019-10-24,08:14 PM,Info,SpResLib,Scanning file: export_check.txt
2019-10-24,08:14 PM,Info,SpResLib,Retrieving log records from storage!
2019-10-24,08:14 PM,Info,SpResLib,Retrieving survey questions from storage!
2019-10-24,08:14 PM,Info,SpResLib,Read contents: Sarah GS9
 	 from file: /storage/emulated/0/Documents/sp_alarms/device_label.txt
2019-10-24,08:14 PM,Info,SpResLib,Read contents: 1571951481116
 	 from file: /storage/emulated/0/Documents/sp_alarms/export_check.txt
