2019-11-11,08:42 AM,Error,SmartPrompter-Admin,Launching on device with dp height: 320.0 		 and dp width: 609.7778
2019-11-11,08:42 AM,Info,SpResLib,Retrieving alarm records from storage!
2019-11-11,08:42 AM,Info,SpResLib,Retrieving alarm records from storage!
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: device_label.txt
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: export_check.txt
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: 0150777431581040454114289022169433643491
2019-11-11,08:42 AM,Info,SpResLib,Read contents: {"alarmTime":{"year":2019,"month":9,"dayOfMonth":29,"hourOfDay":13,"minute":35,"second":0},"archived":false,"desc":"impl reminder limit test","reminderCount":3,"reminderTime":{"year":2019,"month":9,"dayOfMonth":29,"hourOfDay":13,"minute":50,"second":0},"reminderType":"Implicit","status":"Unacknowledged","uuid":"0150777431581040454114289022169433643491"}
 	 from file: /storage/emulated/0/Documents/sp_alarms/0150777431581040454114289022169433643491
2019-11-11,08:42 AM,Info,SpResLib,Retrieving inactive records from storage!
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: 2019-10-24 App.csv
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: 2019-10-24 UI.csv
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: 2019-10-29 App.csv
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: 2019-10-29 UI.csv
2019-11-11,08:42 AM,Info,SpResLib,Scanning file: 0138262147380419366365980030386294868399
2019-11-11,08:42 AM,Info,SpResLib,Read contents: {"alarmTime":{"year":2019,"month":9,"dayOfMonth":29,"hourOfDay":11,"minute":18,"second":0},"archived":true,"desc":"UPenn Test","reminderCount":2,"reminderTime":{"year":2019,"month":9,"dayOfMonth":29,"hourOfDay":11,"minute":21,"second":0},"reminderType":"Implicit","status":"Complete","timeAcknowledged":{"year":2019,"month":9,"dayOfMonth":29,"hourOfDay":11,"minute":19,"second":5},"timeCompleted":{"year":2019,"month":9,"dayOfMonth":29,"hourOfDay":11,"minute":20,"second":29},"uuid":"0138262147380419366365980030386294868399"}
 	 from file: /storage/emulated/0/Documents/sp_logs/0138262147380419366365980030386294868399
2019-11-11,08:42 AM,Info,SpResLib,Retrieving survey questions from storage!
