2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,CurrentAlarmsActivity - 	 Created
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,CurrentAlarmsActivity - 	 Resumed
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,CurrentAlarmsActivity - 	 Back button pressed
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,CurrentAlarmsActivity - 	 Paused
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Created
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,CurrentAlarmsActivity - 	 Stopped
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,CurrentAlarmsActivity - 	 Destroyed
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 View-Past button clicked.
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,PastAlarmsActivity - 	 Created
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,PastAlarmsActivity - 	 Resumed
2019-10-25,10:57 AM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Stopped
2019-10-25,11:00 AM,Info,SmartPrompter-Admin-UI,PastAlarmsActivity - 	 Paused
2019-10-25,11:00 AM,Info,SmartPrompter-Admin-UI,PastAlarmsActivity - 	 Stopped
