2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Created
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Resumed
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Explicit SeekBar tracking touch started!
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 User selected 'On my way'.
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Paused
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Created
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Resumed
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Paused
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Stopped
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,AcknowledgmentActivity - 	 Destroyed
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Resumed
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Implicit SeekBar tracking touch started!
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Implicit SeekBar tracking touch started!
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 User selected 'Ready to take picture'.
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Paused
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Created
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Resumed
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CameraActivity - 	 Paused
2019-11-18,10:00 PM,Info,SmartPrompterV2-UI,CompletionActivity - 	 Stopped
