2019-10-08,02:06 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Created
2019-10-08,02:06 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-10-08,02:06 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-10-08,02:06 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Resumed
2019-10-08,02:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Configure-Surveys button clicked.
2019-10-08,02:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Paused
2019-10-08,02:07 PM,Info,SmartPrompter-Admin-UI,AudioEmailConfigActivity - 	 Created
2019-10-08,02:07 PM,Info,SmartPrompter-Admin-UI,AudioEmailConfigActivity - 	 Resumed
2019-10-08,02:07 PM,Info,SmartPrompter-Admin-UI,MainActivity - 	 Stopped
2019-10-08,02:08 PM,Info,SmartPrompter-Admin-UI,AudioEmailConfigActivity - 	 Paused
2019-10-08,02:08 PM,Info,SmartPrompter-Admin-UI,AudioEmailConfigActivity - 	 Stopped
